EVTNAME91;;;;;;;;;;;;;x
british_colony_purchase_title;British Colony Purchase;;;;Comprar colonias británicas;;;;;;;;x
form_malaysia_desc;We need to unify the malay peoples under one flag to face the menace of the unification of an indonesian nation, we must become the only regional power.;;;;Necesitamos unificar a los pueblos malayos bajo una bandera para enfrentar la amenaza de la unificación de una nación indonesia, debemos convertirnos en la única potencia regional.;;;;;;;;x
rubber_explotation_kng_title;Rubber Explotation;;;;Explotación de Caucho;;;;;;;;x
rubber_explotation_kng_desc;The european nations are very interested in our national goods, the rubber. Making a better proccess to produce this unique and valuable resourse we will be able to make a lot of money and trade routes.;;;;Las naciones europeas están muy interesadas en nuestro bien nacional, el caucho. Haciendo un mejor proceso para producir este recurso único y valioso podremos ganar mucho dinero y rutas comerciales.;;;;;;;;x
ugandan_education_reform_title;Uganda's Education Reform;;;;Reforma Educativa de Uganda;;;;;;;;x
ugandan_education_reform_desc;At this time, our nation is experiencing an expansion of knowledge among scholars and institutions, it is in our hands that this situation is as beneficial as possible for our nation.;;;;En este momento, nuestra nación está experimentando una expansión de conocimiento entre académicos e instituciones, está en nuestras manos que esta situación sea lo más beneficiosa posible para nuestra nación.;;;;;;;;x
lunda_expansion_title;Lunda's Expansion;;;;Expansión de Lunda;;;;;;;;x
lunda_expansion_desc;The Bunkeya region has a large number of Lunda tribes, we must negotiate with them to annex them as part of our nation since in this way we could greatly increase our population, manpower and military power.;;;;La región de Bunkeya cuenta con una gran cantidad de tribus Lunda, debemos negociar con ellas para anexarlas como parte de nuestra nación ya que de esta manera podríamos incrementar enormemente nuestra población, mano de obra y poder militar.;;;;;;;;x
zanzibar_expansion_title;Zanzibari Expansion;;;;Expansión de Zanzibar;;;;;;;;x
zanzibar_expansion_desc;The Voi region has a large number of Swahili tribes, we must negotiate with them to annex them as part of our nation since in this way we could greatly increase our population, manpower and military power.;;;;La región de Voi cuenta con una gran cantidad de tribus Swahilis, debemos negociar con ellas para anexarlas como parte de nuestra nación ya que de esta manera podríamos incrementar enormemente nuestra población, mano de obra y poder militar.;;;;;;;;x
central_african_resourses_title;Central African Resourses;;;;Recursos Centro-Áfricanos;;;;;;;;x
central_african_resourses_desc;The resources of the center of the continent are very valuable and numerous, without a doubt, we are fortunate to have so much wealth.;;;;Los recursos del centro del continente son muy valiosos y numerosos, sin duda, somos afortunados de tener tanta riqueza.;;;;;;;;x
military_development_title;Military Development;;;;Desarrollo Militar;;;;;;;;x
military_development_desc;In the face of threats from neighboring nations, our army must be trained and prepared to overcome our rivals, which is why we must invest in improvements to the army.;;;;Ante las amenazas de las naciones vecinas, nuestro ejército debe estar entrenado y preparado para vencer a nuestros rivales, por eso debemos invertir en mejoras al ejército.;;;;;;;;x
tyo_liberal_buff_title;Liberal Ideas;;;;Ideas Liberales;;;;;;;;x
tyo_liberal_buff_desc;Throughout our nation many liberal ideas have gained strength, people begin to think about concepts such as market freedom, freedom of the press and electoral reforms. This could threaten our position of power but it will benefit the development of the nation.;;;;En toda nuestra nación han cobrado fuerza muchas ideas liberales, la gente empieza a pensar en conceptos como libertad de mercado, libertad de prensa y reformas electorales. Esto podría amenazar nuestra posición de poder pero beneficiará el desarrollo de la nación.;;;;;;;;x
grand_lake_farm_title;Grand Lake farmlands;;;;Tierras de cultivo del Gran Lago;;;;;;;;x
grand_lake_farm_desc;Near the great lakes and rivers of the region there are very fertile areas suitable for agriculture, but we must invest and encourage the population to settle in the area.;;;;Cerca de los grandes lagos y ríos de la región existen zonas muy fértiles aptas para la agricultura, pero hay que invertir y animar a la población a asentarse en la zona.;;;;;;;;x
rwa_bdi_history_title;Rwanda-Burundi History;;;;Historia de Ruanda-Burundi;;;;;;;;x
rwa_bdi_history_desc;The nations of Rwanda and Burundi have lived through times of rivalry but they have much in common. Establishing relationships and sharing intelligence can help improve our nation and thus be able to face the rest of the nations in the region.;;;;Las naciones de Ruanda y Burundi han vivido tiempos de rivalidad, pero tienen mucho en común. Establecer relaciones y compartir inteligencia puede ayudar a mejorar nuestra nación y así poder enfrentarnos al resto de naciones de la región.;;;;;;;;x
create_uganda_title;Create Uganda;;;;Crear Uganda;;;;;;;;x
create_uganda_desc;Historically, In 1894 the Uganda Protectorate was established, and the territory was extended beyond the borders of Buganda to an area that roughly corresponds to that of present-day Uganda.;;;;Históricamente, en 1894 se estableció el Protectorado de Uganda, y el territorio se extendió más allá de las fronteras de Buganda a un área que corresponde aproximadamente a la de la actual Uganda.;;;;;;;;x
denounce_crimes_title;Denounce Crimes;;;;Denunciar Crímenes;;;;;;;;x
denounce_crimes_desc;During the revolutionary wars of Brazil, many war crimes were committed. These crimes include attacks against civilians, violation of rights and freedoms as well as the murder of prisoners of war. Brazil must pay for those crimes committed.;;;;Durante las guerra revolucionarias de Brasil, muchos crímenes de guerra fueron cometidos. Estos crímenes comprenden ataques contra civiles, violación de derechos y libertades así como el asesinato de prisioneros de guerra. Brasil debe pagar por esos crímenes cometidos.;;;;;;;;x
unite_the_confederation_title;Unify the Confederation;;;;Unificar la Confederación;;;;;;;;x
unite_the_confederation_desc;The project of the unification of the Confederation is ready, after our victory before our enemies, it is obvious that we are the dominant nation in the region. The unification of our nations will only give birth to a much more powerful country.;;;;El proyecto de la unificación de la Confederación está listo, tras nuestra victoria antes nuestros enemigos, es obvio que somos la nación dominante de la región. La unificación de nuestras naciones solo dará nacimiento a una país mucho más poderoso.;;;;;;;;x
paseo_emperatriz_title;Paseo de la Emperatriz;;;;Paseo de la Emperatriz;;;;;;;;x
paseo_emperatriz_desc;The empire, headed by Maximilian I of Mexico, issued a series of reforms aimed at modernizing the country, among these was the construction of infrastructure, thus placing the consolidation of communications in the country in the first instance. For this reason, the imperial government developed a series of road and railroad projects. One of those projects was the creation of several European boulevards such as Vienna's Ringstraße or those that were being built at that time in Napoleon III's Paris, which had the purpose of connecting Mexico City from the Imperial Palace with the Chapultepec Forest, close to the City of Tacubaya and where the Chapultepec Castle was located, which would receive the name of Paseo de la Emperatriz, in honor of Maximiliano's wife, Carlota. This project was entrusted to the Mining Engineer Alois Bolland, who was part of Maximiliano's Austro-Hungarian entourage, and who drew up what ultimately resulted.;;;;El imperio, encabezado por Maximiliano I de México emitió una serie de reformas tendientes a modernizar al país, entre estas estaba la construcción de infraestructura, siendo así colocadas en primera instancia la consolidación de la comunicaciones en el país. Por eso, el gobierno imperial desarrolló una serie de proyectos camineros y de ferrocarriles. Uno de esos proyectos fue la creación de varios bulevares europeos como el Ringstraße de Viena o los que se construían en ese momento en el París de Napoleón III, que tenía como fin conectar la Ciudad de México desde el Palacio Imperial con el Bosque de Chapultepec, cercano a la Ciudad de Tacubaya y donde se ubicaba el Castillo de Chapultepec, mismo que recibiría el nombre de Paseo de la Emperatriz, en honor a la esposa de Maximiliano, Carlota. Este proyecto quedó a cargo del Ingeniero en minas Alois Bolland, que formaba parte del séquito austro-húngaro de Maximiliano, y quién trazó lo que resultó finalmente.;;;;;;;;x
hospitales_imperiales_title;Imperial hospitals;;;;Hospitales Iperiales;;;;;;;;x
hospitales_imperiales_desc;During most of the government of the Second Mexican Empire, it was Carlota who directed the issues of the government, showing an active attitude towards the affairs and situations of the country.\n Although the Empire faced a severe economic crisis, the Empress never stopped in her plans to improve the nation through social aid projects.\n One of these projects was the construction of several hospitals throughout the empire, which would be low cost so that the entire population of the empire could be treated, including the poorest.\n Historically, only a couple of these hospitals began construction, but in the numerous letters the Empress wrote, this great project was detailed.;;;;Durante la mayor parte del gobierno del Segundo Imperio Mexicano, fue Carlota quien dirigía los asuntos del gobierno, mostrando una activa actitud hacia los asuntos y situaciones del país.\n Aunque el Imperio enfrentaba una dura crisis económica, la Emperatriz nunca se detuvo en sus planes de mejorar la nación mediante proyectos de ayuda social. Uno de estos proyectos era la construcción de varios hospitales a lo largo del imperio, los cuales serían de bajo costo para que toda la población del imperio pudiera ser tratada, incluyendo los más pobres.\n Históricamente, solo un par de estos hospitales iniciaron su construcción, pero en las numerosas cartas que la emperatriz escribió, se detallaba este gran proyecto.;;;;;;;;x
artes_imperiales_title;The SFM and The Arts Academy;;;;La SFM y La Academia de Artes;;;;;;;;x
artes_imperiales_desc;During the Second Mexican Empire, the support for the arts and music by the imperial couple was great and fervent, so much so that, in 1866, the Mexican Philharmonic Society was founded, which had one of the most virtuous pianists of the Astro-Hungarian Empire, Franz Liszt. The SFM, for its acronym in spanish, carried out various activities and artistic works, which had the financial support of Empress Carlota.\n One of the projects in which Carlota put more enthusiasm was the renovation of the imperial capital, Mexico City, based on the modern architecture of the time, especially of Brussels and Paris, which consisted of various artistic works throughout the city made by Mexican artists, for this, their plan was to found various art academies throughout the empire, these academies would have European teachers who would train Mexican talent and create a cultural and artistic mix.;;;;Durante el Segundo Imperio Mexicano, el apoyo hacia las artes y la música por parte de la pareja imperial era grande y ferviente, tanto así que, en 1866, fue fundada la Sociedad Filarmónica Mexicana, quien contaba con uno de los pianistas más virtuosos del Imperio Astro-Húngaro, Franz Liszt. La SFM, por sus siglas en español, realizó diversas actividades y obras artísticas, mismas que contaban con el apoyo económico de la emperatriz Carlota.\n Uno de los proyectos en los que Carlota puso más entusiasmo era en la renovación de la capital imperial, basándose en la arquitectura moderna de la época, especialmente de Bruselas y Paris, el cual consistía en diversas obras artísticas a lo largo de la ciudad realizadas por artistas mexicanos, para esto, su plan era fundar diversas academias de arte a lo largo del imperio, estas academias contarían con maestros europeos que formarían al talento mexicano y crearían una mezcla culturan y artística.;;;;;;;;x
monarquias_americanas_mx_title;American Royal Union;;;;Unión Real Americana;;;;;;;;x
monarquias_americanas_mx_desc;Of all the American nations that achieved their independence, only two of them adopted a monarchical government, Mexico and Brazil.\n In 1861, Mexico, now a republic after decades of revolutions, was invaded by Napoleon III's French Empire, and Napoleon III imposed a monarchical government on the country, with Maximilian of Habsburg as Emperor.\n In Brazil, the imperial government of the House of Braganza had remained uninterrupted since its independence from Portugal, having as Emperors Pedro I and his successor son, Pedro II.\n Now, after years of economic and diplomatic progress, and our rise to Great Power, relations between both empires have increased so that the rapprochement of both royal houses has given rise to the idea of a possible royal union and, therefore , the union of Empires.;;;;De entre todas las naciones americanas que consiguieron su independencia, solo dos de ellas adoptaron un gobierno monárquico, México y Brasil.\n En 1861, México, ahora una república tras décadas de revoluciones, fue invadido por el Imperio Francés de Napoleón III, y este impuso un gobierno monárquico en el país, con Maximiliano de Habsburgo como Emperador.\n En Brasil, el gobierno imperial de la casa de Braganza se había mantenido ininterrumpido desde su independencia de Portugal, teniendo como Emperadores a Pedro I y su hijo, que lo sucedió, Pedro II.\n Ahora, tras años de progreso económico y diplomático, y nuestro ascenso a Gran Potencia, las relaciones entre ambos imperios se han incrementado por lo que el acercamiento de ambas casas reales ha dado lugar a la idea de una posible unión real y, por lo tanto, la unión de Imperios.;;;;;;;;x
monarquias_americanas_bz_title;American Royal Union;;;;Unión Real Americana;;;;;;;;x
monarquias_americanas_bz_desc;Of all the American nations that achieved their independence, only two of them adopted a monarchical government, Mexico and Brazil.\n In 1861, Mexico, now a republic after decades of revolutions, was invaded by Napoleon III's French Empire, and Napoleon III imposed a monarchical government on the country, with Maximilian of Habsburg as Emperor.\n In Brazil, the imperial government of the House of Braganza had remained uninterrupted since its independence from Portugal, having as Emperors Pedro I and his successor son, Pedro II.\n Now, after years of economic and diplomatic progress, and our rise to Great Power, relations between both empires have increased so that the rapprochement of both royal houses has given rise to the idea of a possible royal union and, therefore , the union of Empires.;;;;De entre todas las naciones americanas que consiguieron su independencia, solo dos de ellas adoptaron un gobierno monárquico, México y Brasil.\n En 1861, México, ahora una república tras décadas de revoluciones, fue invadido por el Imperio Francés de Napoleón III, y este impuso un gobierno monárquico en el país, con Maximiliano de Habsburgo como Emperador.\n En Brasil, el gobierno imperial de la casa de Braganza se había mantenido ininterrumpido desde su independencia de Portugal, teniendo como Emperadores a Pedro I y su hijo, que lo sucedió, Pedro II.\n Ahora, tras años de progreso económico y diplomático, y nuestro ascenso a Gran Potencia, las relaciones entre ambos imperios se han incrementado por lo que el acercamiento de ambas casas reales ha dado lugar a la idea de una posible unión real y, por lo tanto, la unión de Imperios.;;;;;;;;x
slavery_expansion_title;Slavery Expansion;;;; Expansión de la esclavitud;;;;;;;;x
slavery_expansion_desc;Due to the war, we have lost an enormous amount of manpower and our economy is falling. It has been decided that our priority must be to obtain more slaves to regain our economic capacity and reactivate agriculture in our farmlands.;;;;Debido a la guerra, hemos perdido una enorme cantidad de mano de obra y nuestra economía está cayendo. Se ha decidido que nuestra prioridad debe ser obtener más esclavos para recuperar nuestra capacidad económica y reactivar la agricultura en nuestros campos.;;;;;;;;x
slavery_ex_2_title;The Golden Circle;;;;El Circulo Dorado;;;;;;;;x
slavery_ex_2_desc;Years have passed since William Walker's attempts to conquer the Central American states. Now we are in a position to actually make an attempt to conquer Central America to obtain its resources and more slave manpower.;;;;Han pasado años desde los intentos de William Walker de conquistar los estados centroamericanos. Ahora estamos en condiciones de hacer un intento de conquistar Centroamérica para obtener sus recursos y más mano de obra esclava.;;;;;;;;x
slavery_ex_3_title;Confederate Constitution;;;;Constitución Confederada;;;;;;;;x
slavery_ex_3_desc;After our independence and ascent to the world top, we have drawn up a new constitution, likewise, and with the proposal of many high-ranking military personnel, including Matthew Maury, the right of slave expansion of our nation has been established over the American continent.\n The future of our nation is none other than glory and ruling over the inferior races of the continent.;;;;Luego de nuestra independencia y ascenso a la cima mundial, hemos redactado una nueva constitución, igualmente, y con la propuesta de muchos militares de alto rango, entre ellos Matthew Maury, se ha establecido el derecho de expansión esclavista de nuestra nación sobre los Estados Unidos. continente.\n El futuro de nuestra nación no es otro que la gloria y el dominio de las razas inferiores del continente.;;;;;;;;x
